id,title,authors,year,venue,search_string,v1_decision,v1_reason
1,Towards automatic scenario generation from coverage information,"Diepenbeck, Melanie and Soeken, Mathias and Gro\ss{}e, Daniel and Drechsler, Rolf",2013,Proceedings of the 8th International Workshop on Automation of Software Test,String A,EXCLUDE,"Vi phạm IC-N: Nghiên cứu được công bố trước năm 2018 nên không đáp ứng phạm vi thời gian đã được xác định trong giao thức nghiên cứu. Để đảm bảo tính cập nhật của bằng chứng, bài báo bị loại khỏi quá trình sàng lọc."
2,Proposing regulatory-driven automated test suites for electronic health record systems,"Morrison, Patrick and Holmgreen, Casper and Massey, Aaron and Williams, Laurie",2013,Proceedings of the 5th International Workshop on Software Engineering in Health Care,String A,EXCLUDE,"Vi phạm IC-N: Bài báo nằm ngoài khoảng thời gian khảo sát của nghiên cứu. Mặc dù chủ đề có thể liên quan đến kỹ nghệ phần mềm, công trình không đáp ứng tiêu chí về năm xuất bản nên không được xem xét tiếp."
3,Connecting user stories and code for test development,"Landh\""{a}u\ss{}er, Mathias and Genaid, Adrian",2012,Proceedings of the Third International Workshop on Recommendation Systems for Software Engineering,String B,EXCLUDE,"Vi phạm IC-N: Công trình được xuất bản trước ngưỡng thời gian lựa chọn. Do không thỏa mãn yêu cầu về tính cập nhật của tài liệu, bài báo bị loại ở vòng screening."
4,"RTCM: a natural language based, automated, and practical test case generation framework","Yue, Tao and Ali, Shaukat and Zhang, Man",2015,Proceedings of the 2015 International Symposium on Software Testing and Analysis,String B,EXCLUDE,"Vi phạm IC-N: Nghiên cứu được công bố trước năm 2018 nên không đáp ứng phạm vi thời gian đã được xác định trong giao thức nghiên cứu. Để đảm bảo tính cập nhật của bằng chứng, bài báo bị loại khỏi quá trình sàng lọc."
5,Automated test case generation from domain specific models of high-level requirements,"Olajubu, Oyindamola and Ajit, Suraj and Johnson, Mark and Turner, Scott and Thomson, Scott and Edwards, Mark",2015,Proceedings of the 2015 Conference on Research in Adaptive and Convergent Systems,String B,EXCLUDE,"Vi phạm IC-N: Bài báo nằm ngoài khoảng thời gian khảo sát của nghiên cứu. Mặc dù chủ đề có thể liên quan đến kỹ nghệ phần mềm, công trình không đáp ứng tiêu chí về năm xuất bản nên không được xem xét tiếp."
6,SS-BDD: Automated Acceptance Testing for Spreadsheets,"Almeida, Lara and Cirilo, Elder and Barbosa, Eiji Adachi",2016,Proceedings of the 1st Brazilian Symposium on Systematic and Automated Software Testing,String B,EXCLUDE,"Vi phạm IC-N: Công trình được xuất bản trước ngưỡng thời gian lựa chọn. Do không thỏa mãn yêu cầu về tính cập nhật của tài liệu, bài báo bị loại ở vòng screening."
7,Using BDD and SBVR to refine business goals into an event-B model: a research idea,"Siqueira, Fabio Levy and de Sousa, Thiago C. and Silva, Paulo S. Muniz",2017,Proceedings of the 5th International FME Workshop on Formal Methods in Software Engineering,String B,EXCLUDE,"Vi phạm IC-N: Nghiên cứu được công bố trước năm 2018 nên không đáp ứng phạm vi thời gian đã được xác định trong giao thức nghiên cứu. Để đảm bảo tính cập nhật của bằng chứng, bài báo bị loại khỏi quá trình sàng lọc."
8,StackInTheFlow: behavior-driven recommendation system for stack overflow posts,"Greco, Chase and Haden, Tyler and Damevski, Kostadin",2018,Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings,String A,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
9,Combining STPA and BDD for safety analysis and verification in agile development,"Wang, Yang and Wagner, Stefan",2018,Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings,String C,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
10,A Natural Language Driven Approach for Automated Web API Development: Gherkin2OAS,"Dimanidis, Anastasios and Chatzidimitriou, Kyriakos C. and Symeonidis, Andreas L.",2018,Companion Proceedings of the The Web Conference 2018,String B,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
11,Test Stub Generation from Interaction and Behavioural Models,"Bowen, Judy and Khanal, Swikrit",2018,Proceedings of the ACM SIGCHI Symposium on Engineering Interactive Computing Systems,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
12,Behavior-driven development benefits and challenges: reports from an industrial study,"Pereira, Lauriane and Sharp, Helen and de Souza, Cleidson and Oliveira, Gabriel and Marczak, Sabrina and Bastos, Ricardo",2018,Proceedings of the 19th International Conference on Agile Software Development: Companion,String A,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
13,Speed up BDD for safety verification in agile development: a partially replicated controlled experiment,"Wang, Yang and Degutis, Daniel Ryan and Wagner, Stefan",2018,Proceedings of the 19th International Conference on Agile Software Development: Companion,String C,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
14,A model-driven approach for behavior-driven GUI testing,"B\""{u}nder, Hendrik and Kuchen, Herbert",2019,Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing,String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
15,Behavior-driven Load Testing Using Contextual Knowledge - Approach and Experiences,"Schulz, Henning and Okanovi\'{c}, Du\v{s}an and van Hoorn, Andr\'{e} and Ferme, Vincenzo and Pautasso, Cesare",2019,Proceedings of the 2019 ACM/SPEC International Conference on Performance Engineering,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
16,User interface prototype generation from agile requirements specifications written in concordia,"Pinto, Thiago Delgado and Gon\c{c}alves, Willian Inacio and Costa, Pablo Veiga",2019,Proceedings of the 25th Brazillian Symposium on Multimedia and the Web,String B,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
17,Lessons learned about oral-auditory and visual-spatial communication in requirements engineering with deaf stakeholders,"Silva, Ant\^{o}nio C. F. and Rodrigues, C\'{a}ssio L. and Chaveiro, Neuma and Garcia, Renata R. O. and Duarte, Soraya B. R. and Ara\'{u}jo, Mari\'{a} A. R. and Santos, Vin\'{\i}cius B. and Silva, Karina R. G. and Rodrigues, Paulo M. S. and Oliveira, Lu\'{\i}la M. and Sousa, Caio C\'{e}sar Silva",2020,Proceedings of the 35th Annual ACM Symposium on Applied Computing,String B,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
18,Feature-Trace: Generating Operational Profile and Supporting Testing Prioritization from BDD Features,"Fazzolino, Rafael and Rodrigues, Gena\'{\i}na Nunes",2019,Proceedings of the XXXIII Brazilian Symposium on Software Engineering,String B,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
19,Towards behavior-driven graphical user interface testing,"B\""{u}nder, Hendrik and Kuchen, Herbert",2019,SIGAPP Appl. Comput. Rev.,String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
20,Leveraging natural-language requirements for deriving better acceptance criteria from models,"Veizaga, Alvaro and Alferez, Mauricio and Torre, Damiano and Sabetzadeh, Mehrdad and Briand, Lionel and Pitskhelauri, Elene",2020,Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,String B,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
