id,title,authors,year,search_string,v1_decision,v1_reason
1,Notice of Violation of IEEE Publication Principles: Mobile Application Development: Automated Test Input Generation Via Model Inference based on User Story and Acceptance Criteria,H. Iqbal,2019,String A & String B,EXCLUDE,EC1: Duplicate (trùng paper đã có)
2,Agile testing using user language automation with artificial intelligence in Enjisst,D. T. Penagos; N. Agudelo,2024,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5
3,Generating Robot Framework Test Scripts from User Stories and Scenarios for Web Application Testing,K. Waitchasarn; A. Thongtak; T. Suwannasart,2023,String A,INCLUDE,Đáp ứng IC1 đến IC5
4,Bridging the Gap between Requirements Modeling and Behavior-Driven Development,M. Alferez; F. Pastore; M. Sabetzadeh; L. Briand; J. -R. Riccardi,2019,String A,INCLUDE,Đáp ứng IC1 đến IC5
5,Domain Specific Modelling and Language for Safety-Critical and Security-Critical Requirements Engineering,V. Sklyar; V. Kharchenko,2022,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
6,Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage,D. Stojanović; B. Pavković; N. Četić; M. Krunić; L. Vidaković,2024,String A,INCLUDE,Đáp ứng IC1 đến IC5
7,Approach to Generating Functional Test Cases from BPMN Process Diagrams,P. von Olberg; L. Strey,2022,String A,INCLUDE,Đáp ứng IC1 đến IC5
8,"GUI Test Automation Studies: Selenium IDE, Uipath Studio, Katalon Studio",R. B. Bahaweres; N. U. Hasanah,2025,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
9,Exploring Large Language Models for Requirements on String Values,A. A. Babikian; B. Chen; G. Mussbacher,2025,String A,INCLUDE,Đáp ứng IC1 đến IC5
10,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,S. B. Patel; S. Nigam; S. Mahale,2025,String A,INCLUDE,Đáp ứng IC1 đến IC5
11,Object Oriented BDD and Executable Human-Language Module Specification,E. Lee; J. Gong; Q. Cao,2023,String A,INCLUDE,Đáp ứng IC1 đến IC5
12,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,P. L. Fonseca; B. Lima; J. P. Faria,2025,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5
13,The Role of Machine Learning and Large Language Models in Software Testing and Validation,Y. Hachaïchi; M. A. Ouerghi,2025,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5
14,Integrated and Iterative Requirements Analysis and Test Specification: A Case Study at Kostal,C. Wiecher; J. Fischbadh; J. Greenyer; A. Vogelsang; C. Wolff; R. Dumitrescu,2021,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
15,Behave Nicely! Automatic Generation of Code for Behaviour Driven Development Test Suites,T. Storer; R. Bob,2019,String A,INCLUDE,Đáp ứng IC1 đến IC5
16,Acceptance Test Generation with Large Language Models: An Industrial Case Study,M. Ferreira; L. Viegas; J. P. Faria; B. Lima,2025,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5
17,AI driven Test Scenario Generator,A. Chatterjee,2025,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5
18,Impacts of behavioral driven development in the improvement of quality software deliverables,A. Sheshasaayee; P. Banumathi,2018,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
19,Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Transforming Web Application Testing,S. B. Nettur; S. Karpurapu; U. Nettur; L. S. Gajja,2025,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5
20,Test Requirement Modeling and Verification Method Oriented Towards Intelligent Characteristics of Autonomous Unmanned Equipment,J. You; J. Tong; T. Yang; H. Wang,2025,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
21,BDD Meets SAT: Binary Hybrid Diagrams for Efficient Generation of Multiple Solutions,R. Krauss; L. Müller; M. Marach; R. Drechsler,2025,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
22,Generation of Series-Parallel Multilevel Transistor Networks Based on BDDs,H. Wu; Y. Liu; Q. Zeng,2023,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
23,An Analysis of Behaviour-Driven Requirement Specification for Robotic Competitions,M. Nguyen; N. Hochgeschwender; S. Wrede,2023,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
24,Towards Modelling Acceptance Tests as a Support for Software Measurement,A. Lapointe-Boisvert; S. Mosser; S. Trudel,2021,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
25,Automatic Inductive Invariant Generation for Scalable Dataflow Circuit Verification,J. Xu; L. Josipović,2023,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
26,Behavior-driven Development for Real-time Embedded Systems,A. S. Nezhad; J. J. Lukkien; R. H. Mak,2018,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
27,An efficient SAT-based algorithm for finding short cycles in cryptographic algorithms,E. Dubrova; M. Teslenko,2018,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
28,Exploratory Study on Private GPTs for LLM-Driven Test Generation in Software and Machine Learning Development,J. Jagielski; C. Rojas; M. Abel,2025,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5
29,Behavior Driven Development: A Systematic Literature Review,M. S. Farooq; U. Omer; A. Ramzan; M. A. Rasheed; Z. Atal,2023,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
30,Polynomial Formal Verification of Sequential Circuits,C. Dominik; R. Drechsler,2024,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
31,VIBE Project Management: An Autonomous AI-Driven Framework for Intelligent Agile Project Orchestration,S. Palaniappan; G. Kacheru,2026,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
32,An Enhanced Algorithm for Variable Reordering in Binary Decision Diagrams,C. Varma,2018,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
33,Automating Physics-Based Reasoning for SysML Model Validation,C. Chambers; S. Mueller; P. Ganeriwala; C. Sen; S. Bhattacharyya,2025,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
34,A Lane Segmentation and Traffic Object Detection Multi-task Neural Network for AR-HUD,F. Huizong; W. Xin; F. Mingchi; B. Chuanxia,2021,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
35,Automated Behaviour-Driven Acceptance Testing of Robotic Systems,M. Nguyen; S. Wrede; N. Hochgeschwender,2025,String A,INCLUDE,Đáp ứng IC1 đến IC5
36,Improved BDD Binary Logic Algorithm: Hidden BDD Algorithm,Z. -X. Gao; Z. -L. Wang; Y. Ren; D. -Z. Yang; L. -L. Liu; Q. Feng; B. Sun,2019,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
37,Behavior Driven Development Approach in the Modern Quality Control Process,O. Bezsmertnyi; N. Golian; V. Golian; I. Afanasieva,2020,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
38,Semantic-Contextual Automation of Scriptless BDD Testing for Intelligent Test Coverage Enhancement,S. S. Murugan; M. Balamurugan,2025,String B,INCLUDE,Đáp ứng IC1 đến IC5
39,The Behavior Driven Development Applied to the Software Quality Test:,M. G. Cavalcante; J. I. Sales,2019,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
40,An Adaptive Metric for Node Substitution-Based BDD Minimization,A. U. Hassen; F. A. Khan,2021,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
41,Agentic BDD Testing of Dialog Systems: Stabilizing the Dialog Manager via Failure-Driven Evolution,O. Dukić; O. Ristić,2025,String B,INCLUDE,Đáp ứng IC1 đến IC5
42,SPEcBCFuzz: Fuzzing LTL Solvers with Boundary Conditions,L. Carvalho; R. Degiovanni; M. Cordy; N. Aguirre; Y. L. Traon; M. Papadakis,2024,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
43,Assessing The Effectiveness Of Test-Driven Development and Behavior-Driven Development in an Industry Setting,A. S. Dookhun; L. Nagowah,2019,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
44,Investigation of The Influence of Data Acquisition Conditions on the Quality of the CNN-Based Vision System,A. Arhipov; I. Fomin,2022,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
45,A BDD-Based Analysis Method for Probabilistic Competing Failures of Multi-State Sensor Array System,L. Chen; L. Zhang,2019,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
46,ISSAFE: Improving Semantic Segmentation in Accidents by Fusing Event-based Data,J. Zhang; K. Yang; R. Stiefelhagen,2021,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
47,Enhancing the Student Learning Experience by Adopting TDD and BDD in Course Projects,F. G. Rocha; L. S. Souza; T. S. Silva; G. Rodríguez,2021,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
48,Visual Test Framework: Enhancing Software Test Automation with Visual Artificial Intelligence and Behavioral Driven Development,R. K. C. Ragel; F. F. Balahadia,2023,String B,INCLUDE,Đáp ứng IC1 đến IC5
49,Scenario-Based Microservice Retrieval Using Word2Vec,S. -P. Ma; Y. Chuang; C. -W. Lan; H. -M. Chen; C. -Y. Huang; C. -Y. Li,2018,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
50,Assessing the Quality of Behavior-Driven Development Scenarios Using BERT,N. Alinezhadtilaki; C. Evans,2025,String B,INCLUDE,Đáp ứng IC1 đến IC5
51,"Locate, Execute, Expect Design Pattern",A. -M. Vadan; L. C. Miclea,2022,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
52,Learning Efficient Unsupervised Satellite Image-based Building Damage Detection,Y. Zhang; Z. Wang; Y. Luo; X. Yu; Z. Huang,2023,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
53,"SelfBehave, Generating a Synthetic Behaviour-Driven Development Dataset using SELF-INSTRUCT",M. Galloy; M. Balfroid; B. Vanderose; X. Devroey,2025,String B,INCLUDE,Đáp ứng IC1 đến IC5
54,Approach for Generating and Executing Acceptance Tests Based on Computer Vision and GPT-4,J. Quispe; H. Cordova; L. Wong,2026,String B,INCLUDE,Đáp ứng IC1 đến IC5
55,Comparison of Methods for Automated BDD Scenario Generation with NLP and AI,L. I. Matveeva; V. Kunštár; K. Jelemenská; P. Čičák,2025,String B,INCLUDE,Đáp ứng IC1 đến IC5
56,A fast BDD Minimization Framework for Approximate Computing,A. Wendler; O. Keszocze,2020,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
57,"BDD-Based Error Metric Analysis, Computation and Optimization",O. Keszocze,2022,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
58,Acceptance Tests over Microservices Architecture using Behaviour-Driven Development,H. R. Lima; K. C. Souza; L. V. de Paula; L. M. C. e Martins; W. F. Giozza; R. T. de Sousa,2021,String B,INCLUDE,Đáp ứng IC1 đến IC5
59,Polynomial Formal Verification of a Processor: A RISC-V Case Study,L. Weingarten; A. Mahzoon; M. Goli; R. Drechsler,2023,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
60,Behavior-driven development (BDD) Cucumber Katalon for Automation GUI testing case CURA and Swag Labs,R. Broer Bahaweres; E. Oktaviani; L. Kesuma Wardhani; I. Hermadi; A. Suroso; I. Permana Solihin; Y. Arkeman,2020,String B,INCLUDE,Đáp ứng IC1 đến IC5
61,Towards Code Generation from BDD Test Case Specifications: A Vision,L. Chemnitz; D. Reichenbach; H. Aldebes; M. Naveed; K. Narasimhan; M. Mezini,2023,String B,INCLUDE,Đáp ứng IC1 đến IC5
62,Applicability of the ViMoTest Approach for Automated GUI Testing: A Field Study,M. Fuksa; S. Speth; S. Becker,2023,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
63,Enhancing Acceptance Test-Driven Development with Model-Based Test Generation,R. Ramler; C. Klammer,2019,String B,INCLUDE,Đáp ứng IC1 đến IC5
64,Segmenting against Dense Distribution and Occlusion in Road Scenarios,F. Zhou; B. Deng; S. Wang,2022,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
