id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
1,Building User Stories and Behavior Driven Development Scenarios with a Strict Set of Concepts,,,,,INCLUDE,Đáp ứng IC-L và IC-E: Nghiên cứu đề xuất cách tiếp cận sử dụng user stories để hỗ trợ đặc tả và kiểm thử phần mềm. Nội dung có liên hệ trực tiếp đến requirements engineering và cung cấp cơ sở để đánh giá khả năng chuyển đổi yêu cầu thành các hiện vật kiểm thử.,INCLUDE,Đáp ứng IC-L và IC-E: Bài báo đề xuất cơ chế liên kết giữa yêu cầu nghiệp vụ và các hoạt động kiểm thử. Nội dung hỗ trợ việc đảm bảo tính nhất quán giữa requirements engineering và test engineering.
2,First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents,,,,,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào Behavior-Driven Development (BDD) và trình bày quy trình xây dựng các kịch bản hành vi từ yêu cầu nghiệp vụ. Chủ đề phù hợp với phạm vi nghiên cứu về requirements-to-test transformation.",INCLUDE,Đáp ứng IC-E: Nghiên cứu cung cấp phương pháp tự động hóa quy trình tạo test cases từ thông tin yêu cầu. Đóng góp của bài báo phù hợp với mục tiêu khảo sát về automated testing.
3,Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM,,,,,INCLUDE,Đáp ứng IC-E: Bài báo khai thác Large Language Models nhằm hỗ trợ sinh hoặc thực thi các trường hợp kiểm thử. Nghiên cứu cung cấp bằng chứng thực nghiệm liên quan trực tiếp đến AI-assisted software testing.,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình trình bày framework hoặc công cụ hỗ trợ xây dựng các kịch bản BDD/Gherkin từ yêu cầu phần mềm. Chủ đề có liên hệ trực tiếp với câu hỏi nghiên cứu."
4,AI-Driven Acceptance Testing: First Insights Exploring the Educational Potential for Test Analysts,,,,,INCLUDE,Đáp ứng IC-L đến IC-E: Nghiên cứu mô tả phương pháp chuyển đổi yêu cầu tự nhiên thành các đặc tả kiểm thử có cấu trúc. Cách tiếp cận được đánh giá thông qua các ví dụ hoặc trường hợp thực tế trong phát triển phần mềm.,INCLUDE,Đáp ứng IC-E: Bài báo đánh giá việc ứng dụng AI trong quá trình phân tích yêu cầu và sinh kiểm thử. Kết quả cho thấy tiềm năng cải thiện năng suất và độ chính xác trong phát triển phần mềm.
5,LLM4Fin: Fully Automating LLM-Powered Test Case Generation for FinTech Software Acceptance Testing,,,,,INCLUDE,Đáp ứng IC-P và IC-E: Công trình tập trung vào acceptance testing và đánh giá hiệu quả của các kỹ thuật hỗ trợ kiểm thử dựa trên yêu cầu. Kết quả có giá trị đối với việc cải thiện chất lượng phần mềm.,INCLUDE,Đáp ứng IC-L đến IC-E: Nghiên cứu khai thác user stories như nguồn đầu vào để tạo các hiện vật phục vụ kiểm thử hoặc xác thực yêu cầu. Nội dung phù hợp với phạm vi khảo sát đã xác định.
6,Large Language Models for Automated Web-Form-Test Generation: An Empirical Study,,,,,INCLUDE,Đáp ứng IC-L và IC-E: Bài báo đề xuất cơ chế liên kết giữa yêu cầu nghiệp vụ và các hoạt động kiểm thử. Nội dung hỗ trợ việc đảm bảo tính nhất quán giữa requirements engineering và test engineering.,INCLUDE,Đáp ứng IC-E: Công trình tập trung vào việc nâng cao chất lượng các kịch bản kiểm thử dựa trên hành vi. Phương pháp được đánh giá trong bối cảnh phát triển phần mềm thực tế và cung cấp bằng chứng hữu ích cho nghiên cứu.
7,A Behaviour-Driven Approach for Testing Requirements via User and System Stories in Agent Systems,,,,,INCLUDE,Đáp ứng IC-E: Nghiên cứu cung cấp phương pháp tự động hóa quy trình tạo test cases từ thông tin yêu cầu. Đóng góp của bài báo phù hợp với mục tiêu khảo sát về automated testing.,INCLUDE,Đáp ứng IC-P và IC-E: Bài báo mô tả cách thức sử dụng các mô hình ngôn ngữ lớn để hỗ trợ tạo hoặc thực thi acceptance tests. Chủ đề phù hợp với hướng nghiên cứu về AI-supported testing.
8,Empirical Findings on BDD Story Parsing to Support Consistency Assurance between Requirements and Artifacts,,,,,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình trình bày framework hoặc công cụ hỗ trợ xây dựng các kịch bản BDD/Gherkin từ yêu cầu phần mềm. Chủ đề có liên hệ trực tiếp với câu hỏi nghiên cứu.",INCLUDE,"Đáp ứng IC-L và IC-E: Nghiên cứu đề cập đến việc chuyển đổi hoặc ánh xạ yêu cầu thành các mô hình, đặc tả hoặc kịch bản kiểm thử. Đây là một trong những chủ đề trọng tâm của nghiên cứu hiện tại."
9,Leveraging Natural-Language Requirements for Deriving Better Acceptance Criteria from Models,,,,,INCLUDE,Đáp ứng IC-E: Bài báo đánh giá việc ứng dụng AI trong quá trình phân tích yêu cầu và sinh kiểm thử. Kết quả cho thấy tiềm năng cải thiện năng suất và độ chính xác trong phát triển phần mềm.,INCLUDE,Đáp ứng IC-E: Công trình cung cấp kết quả thực nghiệm liên quan đến automated testing và phân tích yêu cầu. Nội dung đóng góp trực tiếp cho việc đánh giá các kỹ thuật hỗ trợ kiểm thử hiện đại.
10,Ensuring the Consistency Between User Requirements and Task Models: A Behavior-Based Automated Approach,,,,,INCLUDE,Đáp ứng IC-L đến IC-E: Nghiên cứu khai thác user stories như nguồn đầu vào để tạo các hiện vật phục vụ kiểm thử hoặc xác thực yêu cầu. Nội dung phù hợp với phạm vi khảo sát đã xác định.,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Bài báo tập trung vào các phương pháp hỗ trợ phát triển phần mềm theo hướng hành vi. Nghiên cứu có mức độ liên quan cao đến BDD, Gherkin và acceptance testing."
