id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
1,Notice of Violation of IEEE Publication Principles: Mobile Application Development: Automated Test Input Generation Via Model Inference based on User Story and Acceptance Criteria,H. Iqbal,2019,2019 International Conference on Digitization (ICD),String A & String B,EXCLUDE,EC1: Duplicate (trùng paper đã có),,
2,Agile testing using user language automation with artificial intelligence in Enjisst,D. T. Penagos; N. Agudelo,2024,2024 IEEE Latin American Conference on Computational Intelligence (LA-CCI),String A & String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
3,Generating Robot Framework Test Scripts from User Stories and Scenarios for Web Application Testing,K. Waitchasarn; A. Thongtak; T. Suwannasart,2023,2023 8th International Conference on Computer and Communication Systems (ICCCS),String A,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
4,Bridging the Gap between Requirements Modeling and Behavior-Driven Development,M. Alferez; F. Pastore; M. Sabetzadeh; L. Briand; J. -R. Riccardi,2019,2019 ACM/IEEE 22nd International Conference on Model Driven Engineering Languages and Systems (MODELS),String A,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
5,Domain Specific Modelling and Language for Safety-Critical and Security-Critical Requirements Engineering,V. Sklyar; V. Kharchenko,2022,"2022 12th International Conference on Dependable Systems, Services and Technologies (DESSERT)",String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
6,Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage,D. Stojanović; B. Pavković; N. Četić; M. Krunić; L. Vidaković,2024,2024 32nd Telecommunications Forum (TELFOR),String A,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
7,Approach to Generating Functional Test Cases from BPMN Process Diagrams,P. von Olberg; L. Strey,2022,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),String A,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
8,"GUI Test Automation Studies: Selenium IDE, Uipath Studio, Katalon Studio",R. B. Bahaweres; N. U. Hasanah,2025,2025 13th International Conference on Cyber and IT Service Management (CITSM),String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
9,Exploring Large Language Models for Requirements on String Values,A. A. Babikian; B. Chen; G. Mussbacher,2025,"2025 IEEE/ACM Workshop on Multi-disciplinary, Open, and RElevant Requirements Engineering (MO2RE)",String A,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
10,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,S. B. Patel; S. Nigam; S. Mahale,2025,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),String A,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
11,Object Oriented BDD and Executable Human-Language Module Specification,E. Lee; J. Gong; Q. Cao,2023,"2023 26th ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD-Winter)",String A,INCLUDE,Đáp ứng IC1 đến IC5,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
12,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,P. L. Fonseca; B. Lima; J. P. Faria,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),String A & String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
13,The Role of Machine Learning and Large Language Models in Software Testing and Validation,Y. Hachaïchi; M. A. Ouerghi,2025,2025 IEEE 22nd International Conference on Sciences and Techniques of Automatic Control and Computer Engineering (STA),String A & String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
14,Integrated and Iterative Requirements Analysis and Test Specification: A Case Study at Kostal,C. Wiecher; J. Fischbadh; J. Greenyer; A. Vogelsang; C. Wolff; R. Dumitrescu,2021,2021 ACM/IEEE 24th International Conference on Model Driven Engineering Languages and Systems (MODELS),String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
15,Behave Nicely! Automatic Generation of Code for Behaviour Driven Development Test Suites,T. Storer; R. Bob,2019,2019 19th International Working Conference on Source Code Analysis and Manipulation (SCAM),String A,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
16,Acceptance Test Generation with Large Language Models: An Industrial Case Study,M. Ferreira; L. Viegas; J. P. Faria; B. Lima,2025,2025 IEEE/ACM International Conference on Automation of Software Test (AST),String A & String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
17,AI driven Test Scenario Generator,A. Chatterjee,2025,2025 5th International Conference on Information Communication and Software Engineering (ICICSE),String A & String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
18,Impacts of behavioral driven development in the improvement of quality software deliverables,A. Sheshasaayee; P. Banumathi,2018,2018 3rd International Conference on Inventive Computation Technologies (ICICT),String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
19,Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Transforming Web Application Testing,S. B. Nettur; S. Karpurapu; U. Nettur; L. S. Gajja,2025,IEEE Access,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
20,Test Requirement Modeling and Verification Method Oriented Towards Intelligent Characteristics of Autonomous Unmanned Equipment,J. You; J. Tong; T. Yang; H. Wang,2025,2025 5th International Conference on Electronic Information Engineering and Computer Communication (EIECC),String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
21,BDD Meets SAT: Binary Hybrid Diagrams for Efficient Generation of Multiple Solutions,R. Krauss; L. Müller; M. Marach; R. Drechsler,2025,2025 Forum on Specification & Design Languages (FDL),String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
22,Generation of Series-Parallel Multilevel Transistor Networks Based on BDDs,H. Wu; Y. Liu; Q. Zeng,2023,2023 International Symposium of Electronics Design Automation (ISEDA),String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
