ID;Prompt;Response;;
User Story 1: Log into the System;"User Story 1: Log into the System
User Story: As someone who wants to place orders, I want to log into the system using my phone number and password, so that I can access my account and place orders.";"Scenario: User logs into the system using phone number and password
  Given a user with a registered phone number and password
  When the user attempts to log in with their phone number and password
  Then the user should be granted access to their account
  And the user should be able to place orders";;
User Story 2: Register New User;"User Story 2: Register New User
User Story: As someone who wants to place orders, I want to register in the system by entering my full name, phone number, password, and password confirmation, so that I can create an account and start placing orders.";"Scenario: Register a new user successfully
  Given a user wants to register in the system
  And the user is on the registration page
  When the user enters their full name, phone number, password, and password confirmation
  And the user submits the registration form
  Then the user should see a confirmation message
  And the user should be able to log in with the registered credentials";;
User Story 3: View Shopping Cart;"User Story 3: View Shopping Cart
User Story: As someone who wants to place orders, I want to view my shopping cart, so that I can review the items I have selected before completing the purchase.";"Scenario: View items in the shopping cart
  Given a user has selected items to purchase
  And the user is on the shopping cart page
  When the user views the shopping cart
  Then the user should see a list of selected items
  And the user should see the total price of the items";;
User Story 4: Add Product to Cart;"User Story 4: Add Product to Cart
User Story: As someone who wants to place orders, I want to add products to the cart, so that I can select the items I want to buy.";"Scenario: Add a product to the cart
  Given a user is on the product page
  When the user clicks the ""Add to Cart"" button
  Then the product should be added to the cart
  And the cart should display the added product";;
User Story 5: Remove Product from Cart;"User Story 5: Remove Product from Cart
User Story: As someone who wants to place orders, I want to remove products from the cart, so that I can adjust the items I no longer want to buy.";"Scenario: Remove a product from the cart
  Given a user has products in the cart
  And the user is on the cart page
  When the user removes a product from the cart
  Then the product should no longer be in the cart
  And the cart total should be updated accordingly";;
User Story 6: Pay for Order;"User Story 6: Pay for Order
User Story: As someone who wants to place orders, I want to pay for my order using Pix or card, so that I can complete the purchase quickly and conveniently.";"Scenario: Pay for order using Pix or card
  Given a user wants to place an order
  And the user has items in the cart
  When the user chooses to pay using Pix or card
  Then the order should be completed successfully
  And the user should receive a confirmation message";;
User Story 7: Add Note to Order;"User Story 7: Add Note to Order
User Story: As someone who wants to place orders, I want to add notes to my order, so that I can customize how I want to receive the products.";"Scenario: Add a note to an order
  Given a user is on the order page
  And the user has items in the cart
  When the user adds a note to the order
  Then the note should be saved with the order
  And the note should be visible in the order summary";;
User Story 8: Access the Menu;"User Story 8: Access the Menu
User Story: As someone who wants to place orders, I want to access the menu with organized categories, so that I can easily view and choose products.";"Scenario: Access the menu with organized categories
  Given a user who wants to place orders
  When the user accesses the menu
  Then the menu should display organized categories
  And the user should be able to easily view and choose products";;
User Story 9: Manage Orders;"User Story 9: Manage Orders
User Story: As an owner or employee of the establishment, I want to view and manage orders placed by users, so that I can check the details of each order and organize them accordingly.";"Scenario: View and manage orders
  Given an owner or employee is logged into the system
  And there are orders placed by users
  When the owner or employee views the orders
  Then the details of each order should be displayed
  And the orders should be organized accordingly";;
User Story 10: Mark Order as Completed;"User Story 10: Mark Order as Completed
User Story: As an owner or employee of the establishment, I want to mark an order as completed, so that I can inform that the order has been prepared and is ready.";"Scenario: Mark an order as completed
  Given an order is in the system
  And the order is marked as prepared
  When the owner or employee marks the order as completed
  Then the order status should be updated to completed
  And the customer should be informed that the order is ready";;
