ID,Title,Authors,Year,v1_decision,v1_reason,v2_decision,v2_reason
1,Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation,Sujeet Kumar Tiwari,2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Bài báo tiếng Anh, xuất bản 2025, liên quan đến tạo kịch bản Gherkin và step definitions tự động bằng LLM. Có số liệu thực nghiệm giảm 40% thời gian tạo test.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về phương pháp sinh kịch bản Gherkin và step definitions giúp giảm 40% thời gian tạo test."
2,Acceptance Test Generation with Large Language Models: An Industrial Case Study,"Margarida Ferreira, Luís Viegas, João Pascoal Faria, Bruno Lima",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu thực nghiệm về công cụ AutoUAT và Test Flow chuyển đổi user story thành kịch bản Gherkin và mã Cypress với độ hữu dụng 95%.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về case study công nghiệp sử dụng GPT-4 Turbo để sinh mã Cypress từ Gherkin với độ hữu dụng 95%."
3,Behaviour Driven Development Scenario Generation with Large Language Models,"Rathnayake, Amila, Shahin, Mojtaba, Abaei, Golnoush",2026,INCLUDE,"Đáp ứng IC-L đến IC-E: Đánh giá GPT-4o và các LLM khác trong việc sinh kịch bản BDD từ 500 user story thực tế với các chỉ số đo lường ngữ nghĩa.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua tệp văn bản về việc đánh giá GPT-4o, Claude 3 và Gemini trong sinh kịch bản BDD từ 500 user story, sử dụng Cosine Similarity làm metric chính."
4,From customer requirements to behavior driven development scenarios : a possible usecase of large language models in behavior driven development,"Lex, Sebastian",2025,UNSURE,"Thông tin không đủ (EC-A): Tệp nguồn ghi nhận 'NO VALID LINK/ABSTRACT'. Tiêu đề phù hợp IC-P và IC-I nhưng cần toàn văn để xác nhận IC-E.",EXCLUDE,EC-A: No PDFs found
5,Engineering Prompt-Orchestrated LLM Workflows for Automated Test Case Generation in Agile Environments,"Almeyda Alania Fredy Antonio, Barrientos Padilla Alfredo, Siancas Garay Ronald Gustavo",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Giới thiệu công cụ AIDTG sử dụng GPT-4o để sinh acceptance test dựa trên database schema. Kết quả thực nghiệm giảm 80% công sức thiết kế.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về hệ thống AIDTG sử dụng Gemini 1.5 Pro và GPT-4o sinh acceptance test, đạt 91.9% tỷ lệ cú pháp thực thi được."
6,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,"Sagar B. Patel, Sajal Nigam, Shrikanth Mahale",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Sử dụng LLM để reverse-engineer từ API/schema sang Gherkin feature files. Kết quả thực nghiệm giảm 75% thời gian viết test.",EXCLUDE,EC-A: No PDFs found
7,Comprehensive Evaluation and Insights Into the Use of Large Language Models in the Automation of Behavior-Driven Development Acceptance Test Formulation,"Shanthi Karpurapu, Sravanthy Myneni, Unnati Nettur, Likhit Sagar Gajja, Dave Burke, Tom Stiehm, Jeffery Payne",2024,INCLUDE,"Đáp ứng IC-L đến IC-E: Đánh giá thực nghiệm khả năng tạo feature file đúng cú pháp bằng Gherkin-lint của GPT-3.5/4 và Llama-2.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về đánh giá định lượng khả năng sinh Gherkin đúng cú pháp, ghi nhận Few-shot vượt trội Zero-shot."
8,Agentic AI for Behavior-Driven Development Testing Using Large Language Models,"Ciprian Paduraru, Miruna Zavelca, Alin Stefanescu",2025,UNSURE,"Thông tin không đủ (EC-A): Abstract không hiển thị đầy đủ trong nguồn dữ liệu. Tiêu đề phù hợp IC-P nhưng chưa xác nhận được IC-E.",EXCLUDE,EC-A: No PDFs found
9,An Experiment with Focus on Security Through Large- Language Models Using Behavior-Driven Development,"Shexmo Santos, Tacyanne Pimentel, Marcus Silva, Luiz Santos, Fabio Rocha, Michel Soares",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Thử nghiệm thực nghiệm trích xuất yêu cầu bảo mật phi chức năng thành Gherkin, chứng minh hiệu quả tiết kiệm thời gian.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về việc sử dụng LLM elicitation yêu cầu bảo mật ISO/IEC 25010 thành BDD, chứng minh tiết kiệm thời gian thực tế."
10,An Integrated Framework for Ai-driven Quality Engineering: Scaling Test Automation Through Large Language Models and Behavior-driven Development,Dmytro RUMIANTSEV,2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Tích hợp LLM vào quy trình BDD để tự động tạo test case tích hợp. Kết quả giảm thời gian tạo test từ 1 ngày xuống 30 phút.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về việc tích hợp LLM vào quy trình MSpec, giúp phục hồi 43 test case cũ và giảm thời gian tạo test xuống 30 phút."
11,Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Transforming Web Application Testing,"Suresh Babu Nettur, Shanthi Karpurapu, Unnati Nettur, Likhit Sagar Gajja",2024,INCLUDE,"Đáp ứng IC-L đến IC-E: Phát triển extension sinh mã Cypress tự động từ kịch bản BDD. Có đánh giá định lượng trên 55 user story với độ chính xác 95-100%.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về việc sử dụng GPT-4o để sinh mã Cypress từ kịch bản BDD với độ chính xác code đạt 95-100%."
12,Comparative Analysis of Large Language Model Tools for Automated Test Data Generation from BDD,"Isela Mendoza, Fernando Silva Filho, Gustavo Medeiros, Aline Paes, Vânia O. Neves",2024,INCLUDE,"Đáp ứng IC-L đến IC-E: Đánh giá khả năng tạo dữ liệu kiểm thử (Examples table) tự động từ kịch bản BDD. Có số liệu về chất lượng và độ bao phủ dữ liệu.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về đánh giá GPT-4 và Gemini trong việc sinh dữ liệu kiểm thử (Examples) cho kịch bản Gherkin dựa trên tiêu chí BVA/EP."
13,Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage,"Dimitrije Stojanović, Bogdan Pavković, Nenad Četić, Momčilo Krunić, Luka Vidaković",2024,INCLUDE,"Đáp ứng IC-L đến IC-E: Hệ thống multi-agent tạo user story và unit test theo hướng BDD. Có kết quả thực nghiệm về cải thiện độ bao phủ code.",EXCLUDE,EC-A: No PDFs found
14,Exploring Large Language Models for Requirements on String Values,"Aren A. Babikian, Boqi Chen, Gunter Mussbacher",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Sử dụng LLM để tạo dữ liệu thực tế cho kịch bản BDD. Đánh giá độ chính xác định lượng so với SMT solvers.",EXCLUDE,EC-A: No PDFs found
15,OrionTest: An Agentic AI Driven Automation*,Aaditya Goel,2026,INCLUDE,"Đáp ứng IC-L đến IC-E: Kiến trúc multi-agent sinh kịch bản BDD tất định. Có kết quả thực nghiệm về giảm hiện tượng ảo giác và đạt 85% độ chính xác token.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về kiến trúc agentic sử dụng TinyLlama/Groq (Temp=0) để sinh BDD artifacts với độ chính xác token 85%."
16,Technique to Baseline QE Artefact Generation Aligned to Quality Metrics,"Farchi, Eitan, Nayak, Kiran, Majumdar, Papia Ghosh, Route, Saritha",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Kỹ thuật sử dụng LLM và SBERT để tự động tạo và đánh giá artifact BDD qua cơ chế reverse generation. Có kết quả trên 12 dự án.",INCLUDE,"Đáp ứng IC-L đến IC-E: Xác nhận qua PDF về việc sử dụng SBERT để đo lường độ tương đồng ngữ nghĩa (Cosine Similarity) của artifact BDD, đạt mức tăng 0.25 sau tinh chỉnh."
17,The Role of Machine Learning and Large Language Models in Software Testing and Validation,"Yassine Hachaïchi, Mohamed Amine Ouerghi",2025,INCLUDE,"Đáp ứng IC-L đến IC-E: Framework RAG tạo kịch bản Gherkin từ Jira. Kết quả thực nghiệm đạt 87% giảm thiểu thời gian tạo test.",EXCLUDE,EC-A: No PDFs found 
