ID;Prompt;Response;;
User Story 1: Teacher and Student Registration;"User Story 1: Teacher and Student Registration
● As a teacher or student,
I want to register with an email and password,
So that I can access the system and participate in discussions.";"Scenario: Teacher or student registers with email and password
  Given a user is on the registration page
  And the user is either a teacher or a student
  When the user registers with an email and password
  Then the user should be able to access the system
  And the user should be able to participate in discussions";;
User Story 2: Categorizing Users;"User Story 2: Categorizing Users
● As an administrator,
I want to categorize users as either ""teachers"" or ""students"",
so that I can grant appropriate permissions to each type of user.";"Scenario: Categorize users as teachers or students
  Given an administrator is logged into the system
  And there are users in the system
  When the administrator categorizes a user as a teacher
  Then the user should be granted teacher permissions
  And the user should be listed under the teachers category";;
User Story 3: Creating Discussion Rooms;"User Story 3: Creating Discussion Rooms
● As a teacher,
I want to create discussion rooms with title, description, number of theses and due date,
So that I can organize and manage academic discussions efficiently.";"Scenario: Teacher creates a discussion room
  Given a teacher is logged into the academic platform
  When the teacher creates a discussion room with a title, description, number of theses, and due date
  Then the discussion room should be created successfully
  And the teacher should see the new discussion room in the list of discussion rooms";;
User Story 4: Add or Remove Students from the Room;"User Story 4: Add or Remove Students from the Room
● As a teacher,
I want to be able to add or remove students from a discussion room at any time, so that I can maintain control and flexibility over the participants.";"Scenario: Add a student to the discussion room
  Given a teacher is logged into the system
  And the teacher is viewing the discussion room
  When the teacher adds a student to the room
  Then the student should be listed as a participant in the room";;
User Story 5: Adjusting Assignment Due Dates;"User Story 5: Adjusting Assignment Due Dates
● As a teacher,
I want to adjust assignment due dates during the discussion,
so that I can ensure that the schedule is met and meets the
students' needs.";"Scenario: Adjusting assignment due dates during discussion
  Given a teacher is in a discussion with students
  And an assignment due date needs adjustment
  When the teacher adjusts the assignment due date
  Then the schedule should be updated
  And the new due date should meet the students' needs";;
User Story 6: Visualize Participant Progress;"User Story 6: Visualize Participant Progress
● As a teacher,
I want to visualize the progress of each participant and reviewer,
so that I can track the development of theses and revisions in real time.";"Scenario: Visualize participant and reviewer progress
  Given a teacher is logged into the system
  And participants and reviewers have submitted theses and revisions
  When the teacher views the progress dashboard
  Then the teacher should see the progress of each participant and reviewer in real time
  And the teacher should be able to track the development of theses and revisions";;
User Story 7: Reports of Arguments and Revisions;"User Story 7: Reports of Arguments and Revisions
● As a teacher,
I want to generate reports with the content of the arguments and revisions made,
so that I can analyze and archive the debate history.";"Scenario: Generate report with arguments and revisions
  Given a teacher is logged into the debate platform
  And there are existing arguments and revisions in the debate history
  When the teacher requests to generate a report
  Then the report should include the content of the arguments and revisions
  And the report should be available for analysis and archiving";;
User Story 8: Track Student Interactions;"User Story 8: Track Student Interactions
● As a teacher,
I want to track student interactions, comments, and arguments,
so that I can ensure active participation and quality of discussion.";"Scenario: Track student interactions for active participation
  Given a teacher is logged into the classroom management system
  And students are participating in a discussion
  When a student makes a comment or argument
  Then the interaction should be recorded in the system
  And the teacher should be able to view the recorded interactions";;
User Story 9: Ensuring Anonymity;"User Story 9: Ensuring Anonymity
● As a student,
I want my interactions and reviews to be anonymous,
So that I can participate in the discussion without being influenced by personal opinions.";"Scenario: Student interactions and reviews are anonymous
  Given a student is logged into the discussion platform
  And the student is on the review submission page
  When the student submits a review
  Then the review should be posted anonymously
  And the student's identity should not be visible to other users";;
User Story 10: Submitting Thesis and Revisions;"User Story 10: Submitting Thesis and Revisions
● As a student,
I want to submit my thesis and the revisions assigned by the reviewers,
so that I can complete my participation in the debate according to the
schedule.";"Scenario: Submitting thesis and revisions
  Given a student has completed their thesis
  And the reviewers have assigned revisions
  When the student submits the thesis and revisions
  Then the submission should be accepted
  And the student should be eligible to participate in the debate according to the schedule";;
User Story 11: Deadline Notifications;"User Story 11: Deadline Notifications
● As a student,
I want to receive notifications about thesis submission and review deadlines,
so that I can stay organized and turn in my assignments on time.";"Scenario: Student receives notifications about thesis deadlines
  Given a student is registered in the thesis management system
  And the student has a thesis submission deadline
  When the deadline is approaching
  Then the student should receive a notification about the thesis submission deadline
  And the student should receive a notification about the thesis review deadline";;
User Story 12: Reviewer Reassignment;"User Story 12: Reviewer Reassignment
● As a system,
I want to automatically reassign reviewers in case of delays or
withdrawals,
so that I can ensure the discussion continues without interruptions.";"Scenario: Automatically reassign reviewers in case of delays or withdrawals
  Given a review process is ongoing
  And a reviewer is delayed or withdraws
  When the system detects the delay or withdrawal
  Then the system reassigns the reviewer
  And the discussion continues without interruptions";;
User Story 13: Accessing and Exporting Completed Discussions;"User Story 13: Accessing and Exporting Completed Discussions
● As a teacher,
I want to access and export completed discussions in PDF or other format,
so that I can archive and review the content later.";"Scenario: Teacher accesses and exports completed discussions
  Given a teacher is logged into the discussion platform
  And there are completed discussions available
  When the teacher selects a completed discussion to export
  Then the discussion should be available for export in PDF or other formats
  And the teacher should be able to download the exported discussion";;
User Story 14: Viewing Discussion History;"User Story 14: Viewing Discussion History
● As a student,
I want to see the history of arguments after the debate has ended,
so that I can access the content discussed and improve my learning.";"Scenario: Viewing discussion history after debate ends
  Given a student has participated in a debate
  And the debate has ended
  When the student views the discussion history
  Then the student should see the history of arguments
  And the student should be able to access the content discussed";;
User Story 15: Automatic Reviewer Assignment;"User Story 15: Automatic Reviewer Assignment
● As a system,
I want to assign two random reviewers to each thesis,
So that the debate is fair and without conflicts of interest.";"Scenario: Assign two random reviewers to each thesis
  Given a thesis is submitted
  When the system assigns reviewers
  Then two random reviewers should be assigned to the thesis
  And the assignment should ensure fairness and no conflicts of interest";;
User Story 16: Submitting a Closing Argument;"User Story 16: Submitting a Closing Argument
● As a student,
I want to submit a closing argument based on reviewers' feedback,
so that I can conclude the debate process with suggested improvements.";"Scenario: Submitting a closing argument based on reviewers' feedback
  Given a student has received feedback from reviewers
  And the student has prepared a closing argument
  When the student submits the closing argument
  Then the closing argument should be submitted successfully
  And the student should see a confirmation message";;
User Story 1: User Registration;"User Story 1: User Registration
● User Story: As a user,
I want to register with an email and password,
So that I can access the TeseLab system.";"Scenario: User registers with email and password
  Given a user is on the registration page
  When the user enters a valid email and password
  And the user submits the registration form
  Then the user should be registered successfully
  And the user should be able to access the TeseLab system";;
User Story 2: Creating Discussion Rooms;"User Story 2: Creating Discussion Rooms
● User Story: As a teacher,
I want to create new discussion rooms,
so that I can start and manage discussions about dissertations.";"Scenario: Teacher creates a new discussion room
  Given a teacher is logged into the system
  When the teacher creates a new discussion room
  Then the discussion room should be created successfully
  And the teacher should be able to manage the discussion room";;
User Story 3: Add Students to the Room ● User Story: As a teacher,;"User Story 3: Add Students to the Room ● User Story: As a teacher,
I want to add students to a discussion room,
so that I can include all the necessary participants in the discussion.";"Scenario: Add students to a discussion room
  Given a teacher is logged into the system
  And the teacher is on the discussion room page
  When the teacher adds a student to the room
  Then the student should be listed as a participant in the discussion room
  And the student should receive a notification about being added to the room";;
User Story 4: Removing Students from the Room;"User Story 4: Removing Students from the Room
● User Story: As a teacher,
I want to remove students from a discussion room,
so that I can adjust the team composition as needed.";"Scenario: Remove a student from the discussion room
  Given a teacher is logged into the system
  And a discussion room with students is open
  When the teacher removes a student from the room
  Then the student should no longer be in the discussion room
  And the team composition should be updated accordingly";;
User Story 5: Adjusting Deadlines;"User Story 5: Adjusting Deadlines
● User Story: As a teacher,
I want to adjust the deadlines for assignments,
so that I can ensure that discussions and reviews are completed within the appropriate time.";"Scenario: Adjusting assignment deadlines
  Given a teacher is logged into the assignment management system
  And there are existing assignments with set deadlines
  When the teacher adjusts the deadline for an assignment
  Then the new deadline should be saved
  And students should be notified of the deadline change";;
User Story 6: Visualize Participant Progress;"User Story 6: Visualize Participant Progress
● User Story: As a teacher,
I want to visualize the progress of each participant and reviewer,
So that I can track the progress of discussions and interventions.";"Scenario: Visualize participant progress
  Given a teacher is logged into the system
  And participants and reviewers are enrolled in a course
  When the teacher views the progress dashboard
  Then the teacher should see the progress of each participant and reviewer
  And the teacher should be able to track discussions and interventions";;
