ID;Prompt;Response;;
User Story 1: Enter Origin and Destination Address;"User Story 1: Enter Origin and Destination Address
● User Story: As a person who wants a cheap transportation service,
I want to enter the origin and destination address of the trip,
So that I can get a list of available trips.";"Scenario: Enter origin and destination address to get available trips
  Given a person who wants a cheap transportation service
  When the person enters the origin and destination address of the trip
  Then the person should get a list of available trips";;
User Story 2: Selecting Transportation Services;"User Story 2: Selecting Transportation Services
● User Story: As a person who wants a cheap transportation service,
I want to select the transportation services I want to pick up for the trip,
So that I can compare the options of different services.";"Scenario: Selecting transportation services for a trip
  Given a person who wants a cheap transportation service
  When the person selects the transportation services for the trip
  Then the person should be able to compare the options of different services";;
User Story 3: Choosing Transportation Type;"User Story 3: Choosing Transportation Type
● User Story: As a person who wants a cheap transportation service,
I want to choose between motorbike or car as the transportation type,
So that I can have options that best suit my needs.";"Scenario: Choosing between motorbike or car for transportation
  Given a person who wants a cheap transportation service
  When the person chooses the transportation type
  Then the person should see options for motorbike and car
  And the person can select the option that best suits their needs";;
User Story 4: Choosing a Ride Type;"User Story 4: Choosing a Ride Type
● User Story: As a person who wants a cheap transportation service,
I want to choose between a passenger ride or a delivery ride,
so that I can select the type of service that suits my needs.";"Scenario: Choosing between a passenger ride or a delivery ride
  Given a person who wants a cheap transportation service
  When the person selects the type of service
  Then the person should be able to choose between a passenger ride or a delivery ride
  And the person should select the type of service that suits their needs";;
User Story 5: Get Trip List;"User Story 5: Get Trip List
● User Story: As a person who wants a cheap transportation service,
I want to get a list of trips from each transportation service,
So that I can choose the most convenient option.";"Scenario: Retrieve a list of trips from transportation services
  Given a person who wants a cheap transportation service
  When the person requests a list of trips from each transportation service
  Then the person should receive a list of trips
  And the person can choose the most convenient option";;
User Story 6: Choosing the Best Ride;"User Story 6: Choosing the Best Ride
● User Story: As a person who wants a cheap transportation service,
I want to choose the ride that suits me best,
So that I can be redirected to the app of the chosen service.";"Scenario: Choosing the best ride for cheap transportation
  Given a person who wants a cheap transportation service
  When the person chooses the ride that suits them best
  Then the person should be redirected to the app of the chosen service";;
User Story 7: Save Ride Search Priorities;"User Story 7: Save Ride Search Priorities
● User Story: As a person looking for a cheap ride service,
I want to save my search priorities (such as low price, wait time, driver rating),
so that the results are organized according to my preferences.";"Scenario: Save ride search priorities for cheap ride service
  Given a person looking for a cheap ride service
  And the person has set search priorities for low price, wait time, and driver rating
  When the person saves their search priorities
  Then the search results should be organized according to their preferences";;
User Story 8: Register Favorite Destinations;"User Story 8: Register Favorite Destinations
● User Story: As a person who wants a cheap transportation service,
I want to register favorite destinations such as home, work, and school,
So that I can quickly select these addresses when searching for trips.";"Scenario: Register favorite destinations for quick selection
  Given a user who wants a cheap transportation service
  And the user is on the favorite destinations registration page
  When the user registers home, work, and school as favorite destinations
  Then the user should see these destinations listed as favorites
  And the user should be able to quickly select these addresses when searching for trips";;
User Story 9: View Trip History;"User Story 9: View Trip History
● User Story: As a person who wants a cheap transportation service,
I want to view the history of selected trips,
So that I can check the details such as fare, route, and driver rating.";"Scenario: View trip history to check details
  Given a user with a registered account
  And the user has completed multiple trips
  When the user navigates to the trip history page
  Then the user should see a list of past trips
  And each trip should display fare, route, and driver rating";;
User Story 10: See Most Used Transportation Service;"User Story 10: See Most Used Transportation Service
● User Story: As a person who wants a cheap transportation service,
I want to see which transportation service I tend to select the most,
So that I can identify my preferences and selection tendencies.";"Scenario: Identify most used transportation service
  Given a user who wants a cheap transportation service
  And the user has a history of selecting transportation services
  When the user views their transportation service history
  Then the most frequently selected transportation service should be displayed
  And the user should be able to identify their preferences and selection tendencies";;
User Story 11: Promotion Notifications;"User Story 11: Promotion Notifications
● User Story: As a person who wants a cheap transportation service,
I want to receive notifications about promotions from different transportation services,
So that I can take advantage of offers and discounts on my trips.";"Scenario: Receive promotion notifications from transportation services
  Given a user who wants a cheap transportation service
  And the user has subscribed to promotion notifications
  When a transportation service offers a promotion
  Then the user should receive a notification about the promotion
  And the notification should include details of the offer and discount";;
User Story 12: View Driver Ratings;"User Story 12: View Driver Ratings
● User Story: As a person who wants a cheap transportation service,
I want to see the drivers' ratings before choosing a ride,
So that I can feel more secure and confident in choosing the service.";"Scenario: View driver ratings before choosing a ride
  Given a person wants a cheap transportation service
  And the person is on the ride selection page
  When the person views the list of available drivers
  Then the person should see the ratings of each driver
  And the person should feel more secure and confident in choosing the service";;
User Story 13: Sync with Transportation Apps;"User Story 13: Sync with Transportation Apps
● User Story: As a person who wants a cheap transportation service,
I want to sync my information with transportation apps directly,
So that I can complete reservations and payments without having to leave the comparison app.";"Scenario: Sync user information with transportation apps for seamless reservations and payments
  Given a user is logged into the comparison app
  And the user has linked their transportation app accounts
  When the user initiates a reservation through the comparison app
  Then the reservation should be completed in the transportation app
  And the payment should be processed without leaving the comparison app";;
User Story 14: Offline Mode for Favorite Destinations;"User Story 14: Offline Mode for Favorite Destinations
● User Story: As a person who wants a cheap transportation service,
I want to access my favorite destinations even offline,
So that I can plan my trips quickly even without an internet connection.";"Scenario: Access favorite destinations offline
  Given a user has favorite destinations saved
  And the user is offline
  When the user accesses the favorite destinations
  Then the favorite destinations should be displayed
  And the user can plan trips without an internet connection";;
User Story 15: Historically Based Recommendations;"User Story 15: Historically Based Recommendations
● User Story: As a person looking for a cheap transportation service,
I want to receive service recommendations based on my past trips,
so that I can choose more relevant and faster options.";"Scenario: Receive service recommendations based on past trips
  Given a user with a history of past trips
  And the user is looking for a cheap transportation service
  When the user requests service recommendations
  Then the user should receive recommendations based on past trips
  And the recommendations should be relevant and faster options";;
User Story 1: Enter Origin and Destination Address;"User Story 1: Enter Origin and Destination Address
• User Story: As a person who wants a cheap transportation service,
I want to enter my origin and destination address,
So that I can find available rides based on my location.";"Scenario: Enter origin and destination address to find available rides
  Given a person who wants a cheap transportation service
  When the person enters their origin and destination address
  Then the person should see available rides based on their location";;
User Story 2: Selecting Transportation Services;"User Story 2: Selecting Transportation Services
• User Story: As a person who wants a cheap transportation service,
I want to select the transportation services I want to search for a ride on,
So that I can compare options and find the best service for my needs.";"Scenario: Selecting transportation services to compare options
  Given a person who wants a cheap transportation service
  When the person selects the transportation services to search for a ride
  Then the person can compare options
  And the person can find the best service for their needs";;
User Story 3: Choose Transportation Type (Motorcycle or Car);"User Story 3: Choose Transportation Type (Motorcycle or Car)
• User Story: As a person who wants a cheap transportation service,
I want to choose between motorcycle or car as the transportation type,
So that I can select the most economical or fastest option.";"Scenario: Choose between motorcycle or car for transportation
  Given a person who wants a cheap transportation service
  When the person chooses the transportation type
  Then the person can select between motorcycle or car
  And the person can choose the most economical or fastest option";;
